color,director_name,movie_facebook_likes,plot_keywords,genres,actor_1_name,imdb_score,movie_title,combine
Color,Bryan Singer,82000,dystopia super strength supernatural power time paradox time travel,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,8.0,x-men: days of future past,Color Bryan Singer Jennifer Lawrence Action Adventure Fantasy Sci-Fi Thriller dystopia super strength supernatural power time paradox time travel
Color,J.J. Abrams,92000,admiral captain manhunt mission space,Action Adventure Sci-Fi,Benedict Cumberbatch,7.8,star trek into darkness,Color J.J. Abrams Benedict Cumberbatch Action Adventure Sci-Fi admiral captain manhunt mission space
Color,Bryan Singer,22000,bean giant king no opening credits princess,Adventure Fantasy,Eddie Marsan,6.3,jack the giant slayer,Color Bryan Singer Eddie Marsan Adventure Fantasy bean giant king no opening credits princess
Color,Baz Luhrmann,115000,ingratitude mansion party title appears in writing tragedy,Drama Romance,Leonardo DiCaprio,7.3,the great gatsby,Color Baz Luhrmann Leonardo DiCaprio Drama Romance ingratitude mansion party title appears in writing tragedy
Color,Mike Newell,23000,alamut dagger king persia princess,Action Adventure Fantasy Romance,Jake Gyllenhaal,6.6,prince of persia: the sands of time,Color Mike Newell Jake Gyllenhaal Action Adventure Fantasy Romance alamut dagger king persia princess
Color,Guillermo del Toro,83000,giant monster kaiju pilot portal robot,Action Adventure Sci-Fi,Charlie Hunnam,7.0,pacific rim,Color Guillermo del Toro Charlie Hunnam Action Adventure Sci-Fi giant monster kaiju pilot portal robot
Color,Michael Bay,46000,autobot decepticon job interview moon spacecraft,Action Adventure Sci-Fi,Glenn Morshower,6.3,transformers: dark of the moon,Color Michael Bay Glenn Morshower Action Adventure Sci-Fi autobot decepticon job interview moon spacecraft
Color,Steven Spielberg,5000,cult figure femme fatale indiana jones unsubtitled foreign language year 1957,Action Adventure Fantasy,Harrison Ford,6.2,indiana jones and the kingdom of the crystal skull,Color Steven Spielberg Harrison Ford Action Adventure Fantasy cult figure femme fatale indiana jones unsubtitled foreign language year 1957
Color,Peter Sohn,20000,apatosaurus asteroid dinosaur fear river,Adventure Animation Comedy Family Fantasy,A.J. Buckley,6.8,the good dinosaur,Color Peter Sohn A.J. Buckley Adventure Animation Comedy Family Fantasy apatosaurus asteroid dinosaur fear river
Color,Mark Andrews,39000,archery coming of age female warrior princess rebellious daughter,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,7.2,brave,Color Mark Andrews Kelly Macdonald Adventure Animation Comedy Family Fantasy archery coming of age female warrior princess rebellious daughter
Color,Justin Lin,30000,hatred sequel space opera star trek third part,Action Adventure Sci-Fi Thriller,Sofia Boutella,7.5,star trek beyond,Color Justin Lin Sofia Boutella Action Adventure Sci-Fi Thriller hatred sequel space opera star trek third part
Color,Andrew Stanton,16000,earth obesity plant robot soil,Adventure Animation Family Sci-Fi,John Ratzenberger,8.4,wall·e,Color Andrew Stanton John Ratzenberger Adventure Animation Family Sci-Fi earth obesity plant robot soil
Color,Brett Ratner,0,ambassador assassination chinese french triad,Action Comedy Crime Thriller,Tzi Ma,6.2,rush hour 3,Color Brett Ratner Tzi Ma Action Comedy Crime Thriller ambassador assassination chinese french triad
Color,Roland Emmerich,13000,ark catastrophe geologist president writer,Action Adventure Sci-Fi,Oliver Platt,5.8,2012,Color Roland Emmerich Oliver Platt Action Adventure Sci-Fi ark catastrophe geologist president writer
Color,Robert Zemeckis,0,charles dickens christmas christmas eve ghost scrooge,Animation Drama Family Fantasy,Robin Wright,6.8,a christmas carol,Color Robert Zemeckis Robin Wright Animation Drama Family Fantasy charles dickens christmas christmas eve ghost scrooge
Color,Lana Wachowski,44000,box office flop critically bashed planet earth space opera woman in bra and panties,Action Adventure Sci-Fi,Channing Tatum,5.4,jupiter ascending,Color Lana Wachowski Channing Tatum Action Adventure Sci-Fi box office flop critically bashed planet earth space opera woman in bra and panties
Color,David Yates,29000,africa capture jungle male objectification tarzan,Action Adventure Drama Romance,Christoph Waltz,6.6,the legend of tarzan,Color David Yates Christoph Waltz Action Adventure Drama Romance africa capture jungle male objectification tarzan
Color,Andrew Adamson,0,hide and seek lion magic professor snow,Adventure Family Fantasy,Jim Broadbent,6.9,"the chronicles of narnia: the lion, the witch and the wardrobe",Color Andrew Adamson Jim Broadbent Adventure Family Fantasy hide and seek lion magic professor snow
Color,Bryan Singer,54000,mutant superhero superhero team x men year 1983,Action Adventure Sci-Fi,Jennifer Lawrence,7.3,x-men: apocalypse,Color Bryan Singer Jennifer Lawrence Action Adventure Sci-Fi mutant superhero superhero team x men year 1983
Color,Christopher Nolan,37000,based on comic book dc comics psychopath star died before release urban setting,Action Crime Drama Thriller,Christian Bale,9.0,the dark knight,Color Christopher Nolan Christian Bale Action Crime Drama Thriller based on comic book dc comics psychopath star died before release urban setting
Color,Pete Docter,27000,balloon house promise retirement skeleton,Adventure Animation Comedy Family,John Ratzenberger,8.3,up,Color Pete Docter John Ratzenberger Adventure Animation Comedy Family balloon house promise retirement skeleton
Color,Rob Letterman,0,alien alien invasion alien space craft giant giantess,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,6.5,monsters vs. aliens,Color Rob Letterman Amy Poehler Action Adventure Animation Comedy Family Sci-Fi alien alien invasion alien space craft giant giantess
Color,Jon Favreau,10000,afghanistan billionaire inventor playboy u.s. air force,Action Adventure Sci-Fi,Robert Downey Jr.,7.9,iron man,Color Jon Favreau Robert Downey Jr. Action Adventure Sci-Fi afghanistan billionaire inventor playboy u.s. air force
Color,Martin Scorsese,42000,automaton mechanical railway station steampunk train,Adventure Drama Family Mystery,Chloë Grace Moretz,7.5,hugo,Color Martin Scorsese Chloë Grace Moretz Adventure Drama Family Mystery automaton mechanical railway station steampunk train
Color,Barry Sonnenfeld,0,buddy movie general inventor steampunk utah,Action Comedy Sci-Fi Western,Will Smith,4.8,wild wild west,Color Barry Sonnenfeld Will Smith Action Comedy Sci-Fi Western buddy movie general inventor steampunk utah
Color,Rob Cohen,0,army china emperor mummy shangri la,Action Adventure Fantasy Horror Thriller,Jet Li,5.2,the mummy: tomb of the dragon emperor,Color Rob Cohen Jet Li Action Adventure Fantasy Horror Thriller army china emperor mummy shangri la
Color,David Ayer,80000,based on comic book critically bashed father daughter relationship reference to superman super villain,Action Adventure Comedy Sci-Fi,Will Smith,6.9,suicide squad,Color David Ayer Will Smith Action Adventure Comedy Sci-Fi based on comic book critically bashed father daughter relationship reference to superman super villain
Color,Tom Shadyac,2000,ark change congressman depiction of god flood,Comedy Family Fantasy,Jimmy Bennett,5.4,evan almighty,Color Tom Shadyac Jimmy Bennett Comedy Family Fantasy ark change congressman depiction of god flood
Color,Doug Liman,77000,alien combat dying repeatedly end of the world time loop,Action Adventure Sci-Fi,Tom Cruise,7.9,edge of tomorrow,Color Doug Liman Tom Cruise Action Adventure Sci-Fi alien combat dying repeatedly end of the world time loop
Color,Kevin Reynolds,0,future sail sea smoker water,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,6.1,waterworld,Color Kevin Reynolds Jeanne Tripplehorn Action Adventure Sci-Fi Thriller future sail sea smoker water
Color,Stephen Sommers,0,cobra gi joe snake train warhead,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,5.8,g.i. joe: the rise of cobra,Color Stephen Sommers Joseph Gordon-Levitt Action Adventure Sci-Fi Thriller cobra gi joe snake train warhead
Color,Pete Docter,118000,anger joy memory running away sadness,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,8.3,inside out,Color Pete Docter Amy Poehler Adventure Animation Comedy Drama Family Fantasy anger joy memory running away sadness
Color,Jon Favreau,65000,fire jungle remake tiger wolf,Adventure Drama Family Fantasy,Scarlett Johansson,7.8,the jungle book,Color Jon Favreau Scarlett Johansson Adventure Drama Family Fantasy fire jungle remake tiger wolf
Color,Jon Favreau,18000,hammer military monaco revenge tony stark,Action Adventure Sci-Fi,Robert Downey Jr.,7.0,iron man 2,Color Jon Favreau Robert Downey Jr. Action Adventure Sci-Fi hammer military monaco revenge tony stark
Color,Rupert Sanders,53000,evil queen fairy tale magic queen snow white,Action Adventure Drama Fantasy,Chris Hemsworth,6.1,snow white and the huntsman,Color Rupert Sanders Chris Hemsworth Action Adventure Drama Fantasy evil queen fairy tale magic queen snow white
Color,Robert Stromberg,89000,curse dark fantasy fairy king kingdom,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,7.0,maleficent,Color Robert Stromberg Angelina Jolie Pitt Action Adventure Family Fantasy Romance curse dark fantasy fairy king kingdom
Color,Matt Reeves,45000,ape dam leader post apocalypse sequel,Action Adventure Drama Sci-Fi,Gary Oldman,7.6,dawn of the planet of the apes,Color Matt Reeves Gary Oldman Action Adventure Drama Sci-Fi ape dam leader post apocalypse sequel
Color,Roland Joffé,677,1770s british india great barrier reef india ring,Action Adventure Romance Sci-Fi,Tamsin Egerton,4.5,the lovers,Color Roland Joffé Tamsin Egerton Action Adventure Romance Sci-Fi 1770s british india great barrier reef india ring
Color,Carl Rinsch,35000,box office flop ronin samurai shogun tournament,Action Adventure Drama Fantasy,Keanu Reeves,6.3,47 ronin,Color Carl Rinsch Keanu Reeves Action Adventure Drama Fantasy box office flop ronin samurai shogun tournament
Color,Anthony Russo,55000,conspiracy heroism megalomaniac super soldier world domination,Action Adventure Sci-Fi,Scarlett Johansson,7.8,captain america: the winter soldier,Color Anthony Russo Scarlett Johansson Action Adventure Sci-Fi conspiracy heroism megalomaniac super soldier world domination
Color,Mike Mitchell,0,alternate world fairy tale parody female warrior ogre true love,Adventure Animation Comedy Family Fantasy,Jon Hamm,6.4,shrek forever after,Color Mike Mitchell Jon Hamm Adventure Animation Comedy Family Fantasy alternate world fairy tale parody female warrior ogre true love
Color,Brad Bird,37000,boy genius futuristic city inventor teenage girl time travel,Action Adventure Family Mystery Sci-Fi,Judy Greer,6.5,tomorrowland,Color Brad Bird Judy Greer Action Adventure Family Mystery Sci-Fi boy genius futuristic city inventor teenage girl time travel
Color,Don Hall,41000,high tech martial arts masked man robot superhero,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,7.9,big hero 6,Color Don Hall Damon Wayans Jr. Action Adventure Animation Comedy Drama Family Sci-Fi high tech martial arts masked man robot superhero
Color,Rich Moore,40000,arcade candy glitch king medal,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,7.8,wreck-it ralph,Color Rich Moore Jack McBrayer Adventure Animation Comedy Family Sci-Fi arcade candy glitch king medal
Color,Robert Zemeckis,10000,boy christmas christmas eve north pole train,Adventure Animation Family Fantasy,Tom Hanks,6.6,the polar express,Color Robert Zemeckis Tom Hanks Adventure Animation Family Fantasy boy christmas christmas eve north pole train
Color,Roland Emmerich,67000,alien battle defense independence day mothership,Action Adventure Sci-Fi,Vivica A. Fox,5.5,independence day: resurgence,Color Roland Emmerich Vivica A. Fox Action Adventure Sci-Fi alien battle defense independence day mothership
Color,Dean DeBlois,33000,dragon island training viking village,Adventure Animation Family Fantasy,Gerard Butler,8.2,how to train your dragon,Color Dean DeBlois Gerard Butler Adventure Animation Family Fantasy dragon island training viking village
Color,Jonathan Mostow,0,drifter exploding truck future machine skynet,Action Sci-Fi,Nick Stahl,6.4,terminator 3: rise of the machines,Color Jonathan Mostow Nick Stahl Action Sci-Fi drifter exploding truck future machine skynet
Color,James Gunn,96000,bounty hunter outer space raccoon talking animal tree,Action Adventure Sci-Fi,Bradley Cooper,8.1,guardians of the galaxy,Color James Gunn Bradley Cooper Action Adventure Sci-Fi bounty hunter outer space raccoon talking animal tree
Color,Christopher Nolan,349000,black hole father daughter relationship saving the world space travel wormhole,Adventure Drama Sci-Fi,Matthew McConaughey,8.6,interstellar,Color Christopher Nolan Matthew McConaughey Adventure Drama Sci-Fi black hole father daughter relationship saving the world space travel wormhole
Color,Christopher Nolan,175000,ambiguous ending corporate espionage dream subconscious thief,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,8.8,inception,Color Christopher Nolan Leonardo DiCaprio Action Adventure Sci-Fi Thriller ambiguous ending corporate espionage dream subconscious thief
Color,Hideaki Anno,0,blood godzilla monster sequel,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,8.2,godzilla resurgence,Color Hideaki Anno Mark Chinnery Action Adventure Drama Horror Sci-Fi blood godzilla monster sequel
Color,Peter Jackson,166000,dragon dwarf hobbit orc wizard,Adventure Fantasy,Aidan Turner,7.9,the hobbit: an unexpected journey,Color Peter Jackson Aidan Turner Adventure Fantasy dragon dwarf hobbit orc wizard
Color,Rob Cohen,14000,eighteen wheeler illegal street racing truck trucker undercover cop,Action Crime Thriller,Paul Walker,6.7,the fast and the furious,Color Rob Cohen Paul Walker Action Crime Thriller eighteen wheeler illegal street racing truck trucker undercover cop
Color,David Fincher,23000,deformed baby diary lingerie slip older man younger woman relationship premature aging,Drama Fantasy Romance,Brad Pitt,7.8,the curious case of benjamin button,Color David Fincher Brad Pitt Drama Fantasy Romance deformed baby diary lingerie slip older man younger woman relationship premature aging
Color,Matthew Vaughn,54000,cia cia agent mutant nuclear war professor,Action Adventure Sci-Fi,Jennifer Lawrence,7.8,x-men: first class,Color Matthew Vaughn Jennifer Lawrence Action Adventure Sci-Fi cia cia agent mutant nuclear war professor
Color,Francis Lawrence,38000,death of sister dystopia execution rebellion revolution,Adventure Sci-Fi,Jennifer Lawrence,6.6,the hunger games: mockingjay - part 2,Color Francis Lawrence Jennifer Lawrence Adventure Sci-Fi death of sister dystopia execution rebellion revolution
Color,Jon Turteltaub,11000,chosen one enchanted object love spell training,Action Adventure Family Fantasy,Nicolas Cage,6.1,the sorcerer's apprentice,Color Jon Turteltaub Nicolas Cage Action Adventure Family Fantasy chosen one enchanted object love spell training
Color,Wolfgang Petersen,0,cruise escape ocean passenger water,Action Adventure Drama Thriller,Jimmy Bennett,5.6,poseidon,Color Wolfgang Petersen Jimmy Bennett Action Adventure Drama Thriller cruise escape ocean passenger water
Color,James Bobin,30000,clock dark fantasy mad hatter queen sequel,Adventure Family Fantasy,Johnny Depp,6.4,alice through the looking glass,Color James Bobin Johnny Depp Adventure Family Fantasy clock dark fantasy mad hatter queen sequel
Color,Chris Miller,0,disney spoof fairy tale prince princess tough guy,Adventure Animation Comedy Family Fantasy,Justin Timberlake,6.1,shrek the third,Color Chris Miller Justin Timberlake Adventure Animation Comedy Family Fantasy disney spoof fairy tale prince princess tough guy
Color,Duncan Jones,89000,based on video game fictional language fictional war orc sword and sorcery,Action Adventure Fantasy,Dominic Cooper,7.3,warcraft,Color Duncan Jones Dominic Cooper Action Adventure Fantasy based on video game fictional language fictional war orc sword and sorcery
Color,Alan Taylor,82000,alternate timeline cyborg future robot time machine,Action Adventure Sci-Fi,J.K. Simmons,6.6,terminator genisys,Color Alan Taylor J.K. Simmons Action Adventure Sci-Fi alternate timeline cyborg future robot time machine
Color,Michael Apted,11000,dragon king mouse quest warrior,Adventure Family Fantasy,Bruce Spence,6.3,the chronicles of narnia: the voyage of the dawn treader,Color Michael Apted Bruce Spence Adventure Family Fantasy dragon king mouse quest warrior
 Black and White,Michael Bay,0,air raid black smoke japanese military japanese navy sunday,Action Drama History Romance War,Jennifer Garner,6.1,pearl harbor, Black and White Michael Bay Jennifer Garner Action Drama History Romance War air raid black smoke japanese military japanese navy sunday
Color,Michael Bay,8000,alien contact autobot decepticon robot vs. robot teenage hero,Action Adventure Sci-Fi,Zack Ward,7.1,transformers,Color Michael Bay Zack Ward Action Adventure Sci-Fi alien contact autobot decepticon robot vs. robot teenage hero
Color,Oliver Stone,0,ancient greece conquest greek greek myth king,Action Adventure Biography Drama History Romance War,Anthony Hopkins,5.5,alexander,Color Oliver Stone Anthony Hopkins Action Adventure Biography Drama History Romance War ancient greece conquest greek greek myth king
Color,David Yates,0,battle magic school teacher wizard,Adventure Family Fantasy Mystery,Robert Pattinson,7.5,harry potter and the order of the phoenix,Color David Yates Robert Pattinson Adventure Family Fantasy Mystery battle magic school teacher wizard
Color,Mike Newell,0,fire goblet magic tournament wizard,Adventure Family Fantasy Mystery,Robert Pattinson,7.6,harry potter and the goblet of fire,Color Mike Newell Robert Pattinson Adventure Family Fantasy Mystery fire goblet magic tournament wizard
Color,Peter Berg,0,bully comeuppance destruction prison superhero tough girl,Action Drama,Will Smith,6.4,hancock,Color Peter Berg Will Smith Action Drama bully comeuppance destruction prison superhero tough girl
Color,Francis Lawrence,11000,new york city pandemic post apocalypse survivalist virus,Drama Horror Sci-Fi,Will Smith,7.2,i am legend,Color Francis Lawrence Will Smith Drama Horror Sci-Fi new york city pandemic post apocalypse survivalist virus
Color,Tim Burton,0,chocolate diminution miniaturization physical flexability ticket,Adventure Comedy Family Fantasy,Johnny Depp,6.7,charlie and the chocolate factory,Color Tim Burton Johnny Depp Adventure Comedy Family Fantasy chocolate diminution miniaturization physical flexability ticket
Color,Brad Bird,10000,chef food french rat restaurant,Animation Comedy Family Fantasy,Janeane Garofalo,8.0,ratatouille,Color Brad Bird Janeane Garofalo Animation Comedy Family Fantasy chef food french rat restaurant
